ucc,label,domain,all_cu_expenditure,q1_expenditure,q2_expenditure,q3_expenditure,q4_expenditure,q5_expenditure,m1_status,proposed_track_a_status,effective_track_a_status,review_status,resolution_state,track_a_rule_id,track_a_node,track_b_treatment,evidence_strength,suppression_status,notes
220313,"Interest paid, home equity loan",Housing,6130.0,228.0,862.0,842.0,1219.0,2979.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,NONE,EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized.
220314,"Interest paid, home equity loan",Housing,4.0,,,,4.0,,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1,,RETAIN_CURRENT_PAYMENT,STRONG,IMMATERIAL,"EXCLUDE under OS_CPI_MORTGAGE_INTEREST_AND_CHARGES_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). Pending the PUMD annual-weighting and quintile benchmark validation required before the Track-A shelter rule is finalized. UCC 220314 has 4 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
220901,Parking,Housing,2256.0,304.0,308.0,633.0,434.0,577.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
220902,Parking,Housing,410.0,24.0,8.0,77.0,78.0,223.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items.
230113,Plumbing and water heating,Housing,24576.0,2195.0,4127.0,5042.0,3644.0,9569.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
230114,"Heat, a/c, and electrical work",Housing,60914.0,3726.0,6947.0,12379.0,11871.0,25991.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
230115,Roofing and gutters,Housing,50846.0,2952.0,9036.0,12212.0,11125.0,15521.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",Housing,2827.0,204.0,433.0,658.0,538.0,993.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,NONE,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Successor concept to 230142 'Repair of built-in appliances (through 2024-Q1)', which maps to HP041. Not applied: a warranty or service contract is an insurance-like prepayment rather than a repair purchase, and BLS has not stated how the recoding is handled."
230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",Housing,146.0,29.0,78.0,16.0,15.0,9.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,NONE,UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Renter counterpart of 230143; same reasoning. Notable because it is one of only three unmapped codes in an otherwise fully mapped renter maintenance branch.
230151,Other repair and maintenance services,Housing,62743.0,4611.0,5595.0,12476.0,10419.0,29642.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
230152,Repair and remodeling services,Housing,7151.0,286.0,640.0,631.0,3940.0,1654.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items.
230901,Property management,Housing,17688.0,2839.0,2966.0,3057.0,3837.0,4988.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
230902,Property management,Housing,1665.0,67.0,227.0,180.0,232.0,959.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items.
240113,"Paints, wallpaper, and supplies",Housing,87.0,33.0,41.0,,7.0,7.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240113 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0072% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
240123,Tools and equipment for painting and wallpapering,Housing,9.0,4.0,4.0,,1.0,1.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240123 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0072% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
240213,Materials and equipment for roofs and gutters,Housing,3440.0,126.0,645.0,1153.0,655.0,861.0,UNRESOLVED,OUT_OF_SCOPE,UNRESOLVED,PROPOSED,PENDING,OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1,,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,EXCLUDE under OS_CPI_OWNER_STRUCTURE_INVESTMENT_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). This is the largest MODERATE-evidence exclusion in the registry at 3.4 percent of basis and should receive explicit reviewer attention.
240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",Housing,129.0,,,34.0,43.0,52.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240214 has 2 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",Housing,9.0,,,,4.0,5.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240223 has 3 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
240313,Plumbing supplies and equipment,Housing,34.0,,5.0,,,29.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240313 has 3 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
240323,"Electrical supplies, heating, and cooling equipment",Housing,6.0,,,,3.0,4.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 240323 has 3 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
270104,Phone cards,Housing,,,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Suppressed for All Consumer Units. The 2020 concordance vintage mapped 270104 to ED041; the 2022 and later vintages dropped it. Sibling 270106 'Residential telephone including VOIP' maps to ED041. The mapping was withdrawn by BLS, so re-applying it would contradict the pinned concordance. UCC 270104 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
270903,Septic tank cleaning (owned vacation),Housing,,,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Suppressed for All Consumer Units. Discontinued code with no 2024-Q2 successor in the stub. UCC 270903 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
270904,Septic tank cleaning (rented vacation),Housing,,,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Suppressed for All Consumer Units. Discontinued code with no 2024-Q2 successor in the stub. UCC 270904 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
270906,Septic tank cleaning (renter),Housing,31.0,,6.0,7.0,,18.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Probable BLS clerical omission, recorded as an anomaly rather than resolved. Its owner twin 270907 'Septic tank cleaning (owner), new UCC 2024-Q2' maps to HP090, and both predecessors 270901 (renter) and 270902 (owner) map to HP090. BLS mapped both the owner and renter members of the parallel water-softening 2024-Q2 recoding (340421 and 340422). No scope rationale excludes a renter code while including its owner twin, since the investment adjustment runs in the opposite direction. Per Section 5.3 no assignment is invented. Recommended BLS query. UCC 270906 has 2 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
300900,Miscellaneous household appliances,Housing,1378.0,95.0,8.0,266.0,557.0,452.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,NONE,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Diary-sourced residual under CE stub parent MAJAPPL, where every named appliance pair maps to an HK ELI. HK090 'unsampled' is the natural residual. Not applied: BLS has never mapped it, and Casey 2010 records that owner appliance expenditure is adjusted using renter means, so a residual code spanning both tenures may be handled differently."
320613,"Material for insulation, other maintenance, and repair",Housing,67.0,,9.0,21.0,38.0,,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 320613 has 2 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
320626,"Flooring installation, repair, and replacement",Housing,155.0,,12.0,83.0,20.0,39.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 320626 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
320633,Materials for landscaping maintenance,Housing,,,,,,,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,IMMATERIAL,"REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items. UCC 320633 has 6 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0123% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
340912,Management and upkeep services for security,Housing,261.0,1.0,10.0,58.0,61.0,132.0,UNRESOLVED,TRANSFORMED,UNRESOLVED,PROPOSED,PENDING,RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1,SHELTER,RETAIN_CURRENT_PAYMENT,MODERATE,NONE,REPLACE under RP_SECONDARY_RESIDENCE_OWNER_COST_v0_1 (PROPOSED). Blocked: Takes effect only jointly with the Track-A rental-equivalence rule (Milestone 2 Section 6.5). The Milestone 2 amendment requires the PUMD annual-weighting and quintile benchmark validation to pass before Track A is finalized; secondary-residence estimates are noisy and RSE must be carried rather than used to drop these items.
340913,Repair of miscellaneous household equipment and furnishings,Housing,341.0,1.0,8.0,14.0,,318.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,IMMATERIAL,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Diary-sourced. Siblings 340620 (appliance repair) map to HP041 and 340901 (tool and lawn equipment repair and rental) maps to HM090, so the concept is split across two existing ELIs and no single destination is determinable. UCC 340913 has 1 suppressed cell(s). Bounding them by the published BLS parent caps the unknown at 0.0056% of the population basis and 100.0% of its own possible total. The suppressed cells are carried as unknown, not as zero."
340915,Home security system service fees,Housing,6028.0,477.0,658.0,832.0,1560.0,2500.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,UNRESOLVED,WEAK,NONE,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). Largest unresolved item. Sibling 340911 'Management and upkeep services for security (owned)' maps to HP090, and 340903, 340914, 340420, 340421, 340422 also map to HP090, so HP090 is the obvious candidate. It is not applied: BLS has never mapped this code in any of the five vintages examined, and a monitored-alarm subscription is a plausible distinct concept from the mapped siblings. Recommended BLS query."
450351,Extra fees for car/truck lease,Transportation,200.0,16.0,1.0,26.0,97.0,61.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,OPEN,OPEN,UNRESOLVED_v0_2,,NOT_APPLICABLE,WEAK,NONE,"UNRESOLVED under UNRESOLVED_v0_2 (OPEN). All four siblings under CE stub parent LEASVEH (450350, 450352, 450353, 450354) map to TA031. Not applied because 'extra fees' is undefined in the CE documentation and may consist of finance charges, which the CPI excludes; assigning it to TA031 would be an analogy, not evidence."
470311,Electric vehicle charging,Transportation,1352.0,1.0,102.0,80.0,180.0,990.0,UNRESOLVED,TRANSFORMED,TRANSFORMED,ACCEPTED,EFFECTIVE,TR_EV_CHARGING_v0_1,MOTOR_FUEL,NOT_APPLICABLE,MODERATE,NONE,REASSIGN under TR_EV_CHARGING_v0_1 (ACCEPTED).
510110,Automobile finance charges,Transportation,12858.0,768.0,1798.0,2560.0,3719.0,4013.0,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1,,NOT_APPLICABLE,STRONG,NONE,EXCLUDE under OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1 (ACCEPTED).
510901,Truck finance charges,Transportation,40315.0,1929.0,4535.0,7103.0,12503.0,14244.0,UNRESOLVED,OUT_OF_SCOPE,OUT_OF_SCOPE,ACCEPTED,EFFECTIVE,OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1,,NOT_APPLICABLE,STRONG,NONE,EXCLUDE under OS_CPI_VEHICLE_FINANCE_CHARGES_v0_1 (ACCEPTED).
